title,rating,score,vote,type,director,writter,duration,release date,release country,location,reviews,storyline,budget,Opening weekend USA,gross,Cumulate Worldwide Gross,runtime,sound Mix,Color,Aspect Ratio
Fight Club,8.8,66,1.888.376,Drama,David Fincher,Chuck Palahniuk,2h 19min,10 November,1999 (France,421 W. Eighth Street; Los Angeles; California; USA,3952,"A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power.",xxx,xxx,xxx,xxx,139 min,"Dolby Digital
| DTS
| SDDS",Color,2.39 : 1
Le Seigneur des anneaux : La Communauté de l'anneau,8.8,92,1.690.190,Action; Adventu,Peter Jackson,J.R.R. Tolkien,2h 58min,19 December,2001 (France,Fort Dorset; Miramar; Wellington; New Zealand,5492,"An ancient Ring thought lost for centuries has been found, and through a strange twist of fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it. However, he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir, and his three Hobbit friends Merry, Pippin, and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign.",xxx,xxx,xxx,xxx,178 min,"DTS
| Dolby Digital EX
| SDDS
| Dolby Atmos",Color,2.39 : 1
Forrest Gump,8.8,82,1.847.024,Drama; Romance,Robert Zemeckis,Winston Groom,2h 22min,5 October 1,94 (France,Monument Valley; Arizona; USA,2617,"Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.",xxx,xxx,xxx,xxx,142 min,"DTS
(The Digital Experience)| Dolby SR
| SDDS
| Dolby Atmos
| Dolby Digital
(5.1)","Color
|  Black and White",2.39 : 1
"Le Bon, la brute, le truand",8.8,90,699.271,Western,Sergio Leone,Luciano Vincenzoni,2h 41min,8 March 196, (France,xxx,1182,"Blondie (The Good) (Clint Eastwood) is a professional gunslinger who is out trying to earn a few dollars. Angel Eyes (The Bad) (Lee Van Cleef) is a hitman who always commits to a task and sees it through, as long as he is paid to do so. And Tuco (The Ugly) (Eli Wallach) is a wanted outlaw trying to take care of his own hide. Tuco and Blondie share a partnership together making money off of Tuco's bounty, but when Blondie unties the partnership, Tuco tries to hunt down Blondie. When Blondie and Tuco come across a horse carriage loaded with dead bodies, they soon learn from the only survivor, Bill Carson (Antonio Casale), that he and a few other men have buried a stash of gold in a cemetery. Unfortunately, Carson dies and Tuco only finds out the name of the cemetery, while Blondie finds out the name on the grave. Now the two must keep each other alive in order to find the gold. Angel Eyes (who had been looking for Bill Carson) discovers that Tuco and Blondie met with Carson and knows ...",xxx,xxx,xxx,xxx,161 min,io: 2.35 : 1,xxx,xxx
La condition de l'homme: La prière du soldat,8.8,xxx,5.316,Drama; History;,Masaki Kobayashi,Zenzô Matsuyama,3h 10min,28 January ,961 (Japan,Ninjin Club,23,"Part three of a trilogy. After the Japanese defeat to the Russians in the last episode, Kaji, the Japanese soldier and humanistic protagonist, leads the last remaining men through Manchuria. Intent on returning to his dear wife and his old life, Kaji faces great odds in a variety of different harrowing circumstances as he and his fellow men sneak behind enemy lines. Ultimately, he finds himself in the exact opposite position he held in the first episode: Then a labor manager, Kaji is now a prisoner of war, forced to work for the Russians, who do not seem to hold to the Communist ideals in which Kaji himself had put his faith.",xxx,xxx,xxx,xxx,190 min,xxx,xxx,xxx
Pariyerum Perumal,8.7,xxx,9.782,Drama,Mari Selvaraj,Mari Selvaraj,2h 34min,5 October 2,18 (France,IMDbPro,144,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",xxx,xxx,xxx,xxx,154 min,xxx,xxx,xxx
Monpura,8.7,xxx,6.534,Crime; Drama; M,Giasuddin Selim,Giasuddin Selim,2h 16min,13 February,2009 (Bangladesh,See more,19,"A housemaid is killed by a local landlord's son. His servant takes the blame for the murder, to save the landlord's mentally ill son and is marooned in an island named Monpura. There the servant comes across a fisherman's daughter.",xxx,xxx,xxx,xxx,136 min,xxx,xxx,xxx
Neseli Günler,8.7,xxx,10.324,Comedy; Drama;,Orhan Aksoy,Sadik Sendil,1h 32min,1978 (Turke,,Istanbul; Turkey,2,A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.,xxx,xxx,xxx,xxx,92 min,xxx,xxx,xxx
Graves End,8.7,xxx,6.519,Thriller; Myste,James Marlowe,Rick Askew,1h 30min,22 April 20,5 (USA,Ben Lomond; California; USA,25,"In Graves End, the four year-old son of the wealthy financier Tag Graves is kidnapped and the criminals demand a ransom of six million dollars. FBI agent Paul Rickman is assigned to the case that ends with the cruel death of the child and the disappearance of the requested amount. The kidnapper Luke Devilyn is arrested but is released after his trial due to fails in the evidences. He returns to Graves End, a place where the 666 dwellers welcome ex-cons rejected by other towns. When Luke Devilyn is found dead in the woods nearby the town, agent Rickman notes that the criminals that move to Graves End simply vanish, and he returns to the town for further investigation. He meets Sheriff Hooper and recognizes him from a case of bad temper and attitude with great repercussion in the past. Meanwhile, the psychopath Billy also comes to the town leaving a trail of blood behind.",xxx,xxx,xxx,xxx,90 min,xxx,xxx,xxx
Anbe Sivam,8.7,xxx,17.513,Adventure; Come,Sundar C.,Kamal Haasan,2h 40min,14 January ,003 (India,IMDbPro,93,"Evocative and provocative, this masterfully crafted relationship drama tells the story of a series of comic events that occur when Nalla Sivam (Kamal Haasan) a wise-cracking, handicapped communist and Anbarasu (R. Madhavan), an arrogant young advertisement filmmaker who favors capitalism meet. They get stuck with each other on their problem-filled trip from Bhubaneswar to Chennai, giving them a unique opportunity to explore each other's belief system. Themes such as globalization, financial disparity and compassion in present-day India are explored around the two protagonists, while they also find how deeply interconnected their lives are.",xxx,xxx,xxx,xxx,160 min,xxx,xxx,xxx
