title,rating,score,vote,type,director,writter,duration,release date,release country,location,reviews,storyline,budget en $,Opening weekend USA en $,gross en $,Cumulate Worldwide Gross en $,runtime,sound Mix,Color,Aspect Ratio
Le Seigneur des anneaux : La Communauté de l'anneau,8.8,92,1.692.025,Action; Adventu,Frank Darabont,Stephen King,2h 22min,1995-03-1,USA,Sandy Point; St. Croix; U.S. Virgin Islands,9064,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",25000000.0,727327.0,28699976.0,28817291.0,178 min,Dolby Digital,Color,1.85 : 1
Forrest Gump,8.8,82,1.849.722,Drama; Romance,Frank Darabont,Stephen King,2h 22min,1995-03-1,USA,Sandy Point; St. Croix; U.S. Virgin Islands,9064,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",25000000.0,727327.0,28699976.0,28817291.0,142 min,Dolby Digital,Color,1.85 : 1
"Le Bon, la brute, le truand",8.8,90,699.901,Western,Frank Darabont,Stephen King,2h 22min,1995-03-1,USA,Sandy Point; St. Croix; U.S. Virgin Islands,9064,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",25000000.0,727327.0,28699976.0,28817291.0,161 min,Dolby Digital,Color,1.85 : 1
La condition de l'homme: La prière du soldat,8.8,xxx,5.335,Drama; History;,Frank Darabont,Stephen King,2h 22min,1995-03-1,USA,Sandy Point; St. Croix; U.S. Virgin Islands,9064,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",25000000.0,727327.0,28699976.0,28817291.0,190 min,Dolby Digital,Color,1.85 : 1
Montagne II,8.7,xxx,105.952,Action; Drama;,Frank Darabont,Stephen King,2h 22min,1995-03-1,USA,Sandy Point; St. Croix; U.S. Virgin Islands,9064,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",25000000.0,727327.0,28699976.0,28817291.0,135 min,Dolby Digital,Color,1.85 : 1
Monpura,8.7,xxx,6.565,Crime; Drama; M,Frank Darabont,Stephen King,2h 22min,1995-03-1,USA,Sandy Point; St. Croix; U.S. Virgin Islands,9064,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",25000000.0,727327.0,28699976.0,28817291.0,136 min,Dolby Digital,Color,1.85 : 1
Neseli Günler,8.7,xxx,10.328,Comedy; Drama;,Frank Darabont,Stephen King,2h 22min,1995-03-1,USA,Sandy Point; St. Croix; U.S. Virgin Islands,9064,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",25000000.0,727327.0,28699976.0,28817291.0,92 min,Dolby Digital,Color,1.85 : 1
Graves End,8.7,xxx,6.519,Thriller; Myste,Frank Darabont,Stephen King,2h 22min,1995-03-1,USA,Sandy Point; St. Croix; U.S. Virgin Islands,9064,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",25000000.0,727327.0,28699976.0,28817291.0,90 min,Dolby Digital,Color,1.85 : 1
Anbe Sivam,8.7,xxx,17.683,Adventure; Come,Frank Darabont,Stephen King,2h 22min,1995-03-1,USA,Sandy Point; St. Croix; U.S. Virgin Islands,9064,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",25000000.0,727327.0,28699976.0,28817291.0,160 min,Dolby Digital,Color,1.85 : 1
Canim Kardesim,8.7,xxx,8.875,Drama,Frank Darabont,Stephen King,2h 22min,1995-03-1,USA,Sandy Point; St. Croix; U.S. Virgin Islands,9064,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",25000000.0,727327.0,28699976.0,28817291.0,92 min,Dolby Digital,Color,1.85 : 1
