Country Name,manufact_2018,manufact_2017,manufact_2016,manufact_2015,manufact_2014
Bhutan,"$181,838,879","$183,956,698","$164,968,532","$164,352,108","$159,021,457"
Faroe Islands,"$162,559,782","$168,410,850","$128,585,647","$160,971,477","$181,826,281"
Isle Of Man,"$161,811,875","$145,229,086","$165,020,254","$189,876,241","$204,643,739"
Guinea-Bissau,"$152,488,260","$141,756,739","$133,561,006","$112,188,240","$130,616,803"
Greenland,"$135,748,899","$82,085,144","$123,832,019","$101,458,107","$124,026,726"
Cabo Verde,"$132,668,762","$108,540,151","$98,652,768","$104,534,418","$118,774,241"
Maldives,"$112,608,381","$101,557,811","$89,816,200","$78,783,697","$73,391,439"
Seychelles,"$106,982,957","$90,415,941","$82,090,738","$82,430,520","$87,311,613"
Belize,"$104,257,650","$123,514,700","$117,502,900","$121,497,350","$146,943,300"
Djibouti,"$94,400,219","$85,682,691","$73,865,827","$66,321,018","$61,619,124"
Sierra Leone,"$85,750,452","$73,209,962","$66,907,274","$74,613,566","$76,862,738"
Gambia,"$71,094,746","$67,258,813","$82,932,446","$87,503,955","$80,059,782"
St. Lucia,"$66,419,333","$61,952,000","$58,688,222","$53,981,704","$50,942,185"
St. Kitts And Nevis,"$58,270,370","$56,985,185","$57,677,778","$62,692,593","$65,381,481"
Liberia,"$57,061,400","$60,530,700","$64,000,000","$68,000,000","$71,203,900"
Samoa,"$51,597,491","$66,862,873","$64,633,125","$65,404,274","$67,348,618"
Cayman Islands,"$47,324,876","$43,789,889","$42,206,203","$39,130,861","$37,711,204"
St. Vincent And The Grenadines,"$40,666,667","$39,922,222","$38,033,333","$36,840,741","$35,507,407"
Antigua And Barbuda,"$39,740,741","$36,562,963","$39,181,481","$35,862,963","$34,429,630"
Grenada,"$37,374,074","$34,677,778","$35,599,778","$34,090,296","$31,179,778"
Bermuda,"$35,210,000","$33,116,000","$29,743,000","$34,216,000","$30,792,000"
Tonga,"$28,653,344","$27,435,298","$25,389,511","$26,337,068","$27,428,916"
Sao Tome And Principe,"$27,008,344","$28,156,226","$24,240,832","$20,130,065","$22,408,099"
Timor-Leste,"$26,328,700","$24,746,900","$18,032,800","$15,452,300","$11,206,600"
Dominica,"$11,907,407","$9,996,296","$15,081,481","$21,566,667","$15,803,704"
Marshall Islands,"$8,908,700","$8,689,100","$10,155,200","$7,148,300","$10,510,700"
Kiribati,"$8,020,771","$8,071,735","$7,504,460","$6,579,521","$8,354,065"
Turks And Caicos Islands,"$6,271,000","$6,399,000","$6,507,000","$6,514,000","$6,240,000"
Palau,"$2,880,600","$2,804,300","$2,806,800","$2,646,500","$2,425,900"
Micronesia,"$1,979,000","$1,936,400","$1,851,200","$1,325,600","$1,170,500"
South Sudan,$0,$0,$0,"$424,035,514","$373,605,864"
Iraq,$0,$0,"$3,592,532,149","$3,231,057,488","$4,287,507,633"
Tanzania,$0,"$4,083,832,759","$3,889,201,558","$3,721,856,624","$4,556,843,202"
Vanuatu,$0,$0,$0,"$26,507,214","$27,000,660"
Nauru,$0,$0,$0,$0,"$18,883,044"
Malawi,$0,"$590,359,611","$517,164,940","$611,908,132","$577,551,225"
New Zealand,$0,"$21,042,222,999","$19,000,017,403","$20,034,519,430","$22,247,601,139"
North Macedonia,$0,"$1,424,975,533","$1,311,533,651","$1,183,623,200","$1,244,328,350"
Yemen,$0,$0,$0,$0,"$3,697,520,930"
Canada,$0,$0,"$151,724,049,480","$155,230,495,398","$170,003,760,518"
Sint Maarten (Dutch Part),$0,"$7,765,363","$8,770,950","$9,664,804","$9,776,536"
Venezuela,$0,$0,$0,$0,"$58,236,959,836"
Burundi,$0,$0,"$277,073,197","$269,320,543","$273,939,176"
Liechtenstein,$0,"$2,578,958,058","$2,299,472,296",$0,$0
